arabic,armenian,azerbaijani,basque,bengali,bosnian,bulgarian,catalan,cebuano,corsican,croatian,danish,esperanto,estonian,filipino,finnish,galician,georgian,german,greek,gujarati,haitian,hawaiian,hebrew,hmong,hungarian,icelandic,igbo,indonesian,irish,italian,japanese,javanese,kannada,kazakh,khmer,kurdish,kyrgyz,lao,latin,latvian,luxembourgish,macedonian,malagasy,malaysian,malayalam,maltese,maori,marathi,mongolian,nepali,pashto,persian,polish,portuguese,punjabi,romanian,samoan,serbian,shona,sindhi,sinhala,slovak,somali,spanish,sundanese,swahili,swedish,tajik,tamil,telugu,thai,urdu,uzbek,vietnamese,xhosa,yiddish,yoruba,zulu
قياس,չափել,ölçmək,neurtzeko,পরিমাপ,izmjeriti,измерва,mesurar,измерва,misurari,mjeri,måle,mezuri,mõõtma,sukatin,mitata,medir,გავზომოთ,messen,μέτρο,માપવા,mezire,ana,למדוד,ntsuas,intézkedés,mæla,ịlele,mengukur,a thomhas,misurare,測定,ngukur,ಅಳೆಯಲು,өлшеу,វាស់,pîvan,ченөө,ການວັດແທກ,metiretur,izmērīt,moossnam,мерење на,mandrefy,mengukur,അളവ്,ikejlu,whanganga,मोजण्यासाठी,хэмжих,उपाय,د اندازه کولو,اندازه گیری,pomiaru,medir,ਮਾਪ,măsura,fua,мерење,chipimo,ماڻ,පියවරක්,opatrenia,loo qiyaaso,medir,ngukur,kupima,mäta,чен,அளவிட,కొలవటానికి,วัด,پیمائش,o’lchov,đo lường,umlinganiselo,מאָס,wọn,ukulinganisa
باب,դուռը,qapı,atea,দরজা,vrata,врата,porta,врата,av,vrata,dør,pordo,uks,pinto,ovi,porta,კარი,Tür,πόρτα,બારણું,pòt,puka,דלת,qhov rooj,ajtó,dyr,ụzọ,pintu,doras,porta,ドア,lawang,ಬಾಗಿಲು,есік,ទ្វារ,derî,эшик,ປະຕູ,ostium,durvis,dier,врата,varavarana,pintu,വാതില്,bieb,tatau,दरवाजा,хаалга,ढोका,دروازه,درب,drzwi,porta,ਦਾ ਦਰਵਾਜ਼ਾ,ușă,faitotoʻa,врата,musuo,در,දොර,dvere,albaabka,puerta,panto,mlango,dörr,дари,கதவை,తలుపు,ประตู,دروازہ,eshik,cửa,ucango,טיר,ilekun,Umnyango
نتاج,արդյունք,məhsul,produktua,পণ্য,proizvod,продукт,producte,продукт,pruduttu,proizvod,produkt,produkto,toode,produkto,tuote,produto,პროდუქტი,Produkt,προϊόν,ઉત્પાદન,pwodwi,huahana,מוצר,khoom,termék,vara,ngwaahịa,produk,táirge,prodotto,製品,produk,ಉತ್ಪನ್ನ,өнім,ផលិតផល,mal,продукт,ຜະລິດຕະພັນ,Vestibulum,produkts,produit,производ,vokatra,produk,ഉത്പന്നം,prodott,hua,उत्पादन,бүтээгдэхүүн,उत्पादन,د محصول,محصول,Produkt,produto,ਉਤਪਾਦ,produs,mea e gaosi,Продуцт,chigadzirwa,پراڊڪٽ,නිෂ්පාදන,produkt,wax soo saarka,producto,barang,bidhaa,produkt,маҳсулот,தயாரிப்பு,ఉత్పత్తి,ผลิตภัณฑ์,مصنوعات,mahsulot,sản phẩm,imveliso,פּראָדוקט,ọja,umkhiqizo
أسود,Սեւ,qara,beltza,কালো,black,черен,negre,черен,neru,crn,sort,nigra,must,itim,musta,negro,შავი,schwarz,μαύρο,કાળા,nwa,ʻeleʻele,שחור,dub,fekete,svart,ojii,hitam,dubh,nero,黒,ireng,ಕಪ್ಪು,қара,ពណ៌ខ្មៅ,reş,кара,ສີດໍາ,nigrum,melna,schwaarz,црна,mainty,hitam,കറുത്ത,iswed,mangu,काळा,хар,कालो,تور,سیاه و سفید,czarny,preto,ਕਾਲਾ,negru,lanu uliuli,Црна,nhema,ڪارو,කළු,čierna,madow,negro,hideung,nyeusi,svart,сиёҳ,கருப்பு,నలుపు,สีดำ,سیاہ,qora,đen,mnyama,שוואַרץ,dudu,omnyama
قصير,կարճ,qısa,laburra,সংক্ষিপ্ত,Ukratko,кратко,curta,кратко,cortu,Ukratko,kort,mallonga,lühike,maikling,lyhyt,curta,მოკლე,kurz,σύντομο,ટૂંકા,kout,pōkole,קצר,luv luv,rövid,stutt,obere,pendek,gearr,breve,短い,short,ಸಣ್ಣ,қысқа,ខ្លី,nizm,кыска,ສັ້ນ,breves,īss,kuerz,краток,fohy,pendek,കുറിയ,qasir,poto,लहान,богино,छोटो,لنډ,کوتاه,krótki,curta,ਛੋਟਾ,scurt,puʻupuʻu,кратак,pfupi,مختصر,කෙටි,krátky,gaaban,corto,pendek,mfupi,kort,кӯтоҳ,குறுகிய,చిన్న,สั้น,مختصر,qisqa,ngắn,mfutshane,קורץ,kukuru,okufutshane
الأرقام,թվական,say,numeral,সংখ্যা,brojka,цифра,numeral,цифра,maître,cifra,talord,numeralo,numbritega,numeral,numero,numeral,ციფრების,Zahl,αριθμητικό,આંકડો,a chif,numeral,ספרה,tus nab npawj,szám,Talan,onuogugu,angka,Uimhreán,numerale,数字,angka,ಸಂಖ್ಯಾವಾಚಕ,сан,លេខ,jimar,сан атооч,ຈໍານວນຫລາຍ,numerales,cipars,numeral,броеви,Anarana iombonana,angka,സംഖ,numerali,whika,आकडा,тооны нэр,सङ्ख्याको,شمیر,بر اساس اعداد,liczebnik,numeral,ਅੰਕ,numeral,nūmera,нумерал,nhamba,ڏونائي,ඉලක්කම,číslica,tireedyada,numeral,angka,numeral,siffran,ададӣ,எண்,సంఖ్యా,ตัวเลข,ہندسی,raqam,chữ số,inani,ציפער,numeral,inani
الفئة,դաս,sinif,class,বর্গ,klase,клас,classe,клас,burghisìa,klasa,klasse,klaso,klass,klase,luokka,clase,კლასი,Klasse,κατηγορία,વર્ગ,klas,papa,כיתה,chav kawm ntawv,osztály,flokki,otu,kelas,rang,classe,クラス,kelas,ವರ್ಗ,сынып,ថ្នាក់,sinif,тап,ຫ້ອງຮຽນ,class,klase,klass,класа,am-pianarana,kelas,ക്ലാസ്,klassi,te piha,वर्ग,анги,वर्ग,ټولګي,کلاس,Klasa,classe,ਕਲਾਸ ਦੇ,clasă,vasega,Класа,kirasi,طبقاتي,පන්ති,trieda,fasalka,clase,kelas,darasa,klass,синфи,வர்க்கம்,తరగతి,ชั้น,کلاس,class,lớp,eklasini,קלאַס,kilasi,ikilasi
الرياح,քամի,külək,haizea,বায়ু,Vjetar,вятър,vent,вятър,ventu,vjetar,vind,vento,Tuul,hangin,tuuli,vento,ქარი,Wind,άνεμος,પવન,van,makani,רוח,cua,szél,vindur,ifufe,angin,gaoithe,vento,風,angin,ಗಾಳಿ,жел,ខ្យល់,ba,шамал,ພະລັງງານລົມ,spiritus,vējš,wand,Ветер,rivotra,angin,കാറ്റ്,riħ,hau,वारा,салхины,हावा,د باد,باد,wiatr,vento,ਹਵਾ,vânt,matagi,ветар,mhepo,واء,සුළං,vietor,dabaysha,viento,angin,upepo,vind,шамол,காற்று,గాలి,ลม,ہوا,shamol,gió,umoya,ווינט,afẹfẹ,ovunguzayo
السؤال,հարց,sual,question,প্রশ্ন,pitanje,въпрос,pregunta,въпрос,quistioni,pitanje,spørgsmål,demando,küsimus,tanong,kysymys,pregunta,კითხვა,Frage,ερώτηση,પ્રશ્ન,kesyon,ninau,שאלה,lo lus nug,kérdés,spurning,ajụjụ,pertanyaan,ceist,domanda,質問,Pitakonan,ಪ್ರಶ್ನೆ,сұрақ,សំណួរ,pirs,суроо,ຄໍາຖາມ,quaestio,jautājums,fro,прашање,fanontaniana,soalan,ചോദ്യം,kwistjoni,pātai,प्रश्न,асуулт,प्रश्न,پوښتنه,سوال,pytanie,pergunta,ਸਵਾਲ ਦਾ,întrebare,fesili,Питање,mubvunzo,سوال,ප්රශ්නය,otázka,su’aasha,pregunta,tatanya,swali,fråga,савол,கேள்வி,ప్రశ్న,คำถาม,سوال,savol,câu hỏi,umbuzo,קשיא,ibeere,Umbuzo
يحدث,պատահել,baş,gertatuko,ঘটা,dogoditi,се случи,succeir,се случи,succede,dogoditi se,ske,okazi,juhtuma,mangyari,tapahtua,pasar,მოხდება,passieren,συμβεί,થાય,rive,hiki mai ana,לקרות,tshwm sim,történik,gerast,eme,terjadi,tharlóidh,accadere,起こる,kelakon,ಸಂಭವಿಸಿ,орын,កើតឡើង,bûyin,эмне,ມີຫຍັງເກີດຂຶ້ນ,fieri,notikt,geschéien,се случи,hitranga,berlaku,സംഭവിക്കുക,jiġri,tupu,घडू,болох,के,پېښ,اتفاق می افتد,stanie,acontecer,ਕੀ ਹੋ,întâmpla,tupu,деси,itika,ايڏو وڏو,සිදු,stať sa,dhici,suceder,kajadian,kutokea,hända,рӯй,நடக்கும்,జరిగే,เกิดขึ้น,ہو,sodir,xảy ra,kwenzeka,פּאַסירן,ṣẹlẹ,kwenzeke
كاملة,ամբողջական,tam,osoa,সম্পূর্ণ,potpune,пълен,completa,пълен,cumpleta,potpun,komplet,kompleta,täielik,kumpleto na ang,täydellinen,completo,სრული,vollständig,πλήρης,પૂર્ણ,konplè,loa,מלא,tiav,teljes,heill,zuru oke,lengkap,críochnaithe,integrale,完全な,lengkap,ಸಂಪೂರ್ಣ,аяқталған,ពេញលេញ,tevî,аяктоо,ສໍາເລັດສົມບູນ,completum,pilnīgs,komplett,целосна,tanteraka,lengkap,പൂർണ്ണമായ,kompluta,oti,पूर्ण,бүрэн,पूर्ण,بشپړ,کامل,pełna,completo,ਮੁਕੰਮਲ ਹੋ,complet,atoatoa,комплетан,yose,مڪمل,සම්පූර්ණ,kompletné,dhammaystiran,completo,kumplit,kamili,fullständig,пурра,முழுமையான,పూర్తి,สมบูรณ์,مکمل,to’la,hoàn thành,epheleleyo,גאַנץ,pari,kuqedile
سفينة,նավ,gəmi,ontzia,জাহাজ,brod,кораб,vaixell,кораб,battellu,brod,skib,ŝipo,laev,barko,laiva,barco,გემი,Schiff,πλοίο,જહાજ,bato,moku,ספינה,nkoj,hajó,skipið,ụgbọ mmiri,kapal,long,nave,船,kapal,ಹಡಗು,кеме,នាវា,gemî,кеме,ການຂົນສົ່ງ,navem,kuģis,schëff,брод,sambo,kapal,കപ്പല്,vapur,kaipuke,जहाज,хөлөг онгоц,जहाज,کښتۍ,کشتی,statek,navio,ਜਹਾਜ਼,navă,vaʻa,Схип,chikepe,ٻيڙي,නෞකාව,loď,markab,buque,kapal,meli,skepp,киштӣ,கப்பல்,ఓడ,เรือ,جہاز,kema,tàu,inqanawa,שיף,omi,Umkhumbi
منطقة,շրջան,sahəsi,Zonalde,ক্ষেত্র,području,област,zona,област,spaziu,područje,område,spaco,piirkond,lugar,alue,área,ფართი,Bereich,έκταση,વિસ્તાર,zòn,wahi,אזור,cheeb tsam,terület,svæði,mpaghara,daerah,limistéar,area,エリア,area,ಪ್ರದೇಶ,аудан,តំបន់,dewer,аймак,ເຂດພື້ນທີ່,area,platība,beräich,област,faritra,kawasan,പ്രദേശം,żona,rohe,क्षेत्र,газар,क्षेत्र,په سيمه کې,منطقه,obszar,área,ਖੇਤਰ ਦੇ,zona,eria,Ареа,nharaunda,علائقي,ප්රදේශයේ,oblasť,deegaanka,zona,wewengkon,eneo,område,майдон,பகுதி,ప్రాంతం,พื้นที่,علاقے,maydon,khu vực,ummandla,געגנט,agbegbe,indawo
نصف,կես,yarım,erdia,অর্ধ,pola,половината,mitjà,половината,mitati,pola,halvdelen,duono,poole,kalahati,puoli,metade,ნახევარი,Hälfte,ήμισυ,છ,mwatye,hapalua,מחצית,ib nrab,fél,helmingur,ọkara,setengah,leath,metà,半分,setengah,ಅರ್ಧ,жарты,ពាក់កណ្តាល,nîv,жарым,ເຄິ່ງຫນຶ່ງ,dimidiam,puse,halschent,половина,antsasany,setengah,പകുതി,nofs,hawhe,अर्धा,тэн хагас нь,आधा,نيمايي,نیم,połowa,metade,ਅੱਧੇ,jumătate,afa,халф,hafu,اڌ,අර්ධ,polovica,qeybtii,medio,satengah,nusu,halv,нисф,அரை,సగం,ครึ่ง,نصف,yarim,một nửa,isiqingatha,האַלב,idaji,isigamu
صخرة,ժայռ,rock,rock,শিলা,rock,рок,roca,рок,scogliu,stijena,sten,roko,Rock,rock,kallio,rocha,როკი,Stein,βράχος,રોક,wòch,pohaku,רוק,pob zeb,kő,rokk,nkume,batu,carraig,rock,岩,watu,ರಾಕ್,Rock,រ៉ុក,teht,аска,ຫີນ,petræ,klinšu,rock,рок,vato,batuan,പാറ,blat,toka,रॉक,чулуулгийн,चट्टान,ګټ,سنگ,skalny,rocha,ਚੱਟਾਨ,rocă,papa,Роцк,ibwe,پٿريلي,ගල්,skala,dhagax weyn,roca,batu,mwamba,vagga,шах,ராக்,రాక్,หิน,راک,qoya,đá,iliwa,שטיין,apata,idwala
النظام,կարգը,order,ordena,যাতে,kako bi,За,fi,За,pà,poredak,ordre,ordon,selleks,pagkakasunud-sunod,järjestys,orde,"იმისათვის,",bestellen,για,માટે,lòd,aoao,כדי,Yuav,rendelés,röð,iji,rangka,ordú,ordine,オーダー,supaya,ಆದೇಶ,тапсырыс,ការបញ្ជាទិញ,emir,тартип,ຄໍາສັ່ງ,ut,rīkojums,uerdnung,цел,mba,perintah,ഓർഡർ,ordni,kia,ऑर्डर,зэрэг,आदेश,نظم,منظور,zamówienie,ordem,ਕ੍ਰਮ,pentru,poloaiga,редослед,hurongwa,حڪم,නියෝගයක්,objednávka,si,orden,pesenan,ili,för,тартибот,பொருட்டு,ఆర్డర్,เพื่อ,حکم,buyurtma,để,umyalelo,סדר,ibere,oda
النار,կրակ,yanğın,sua,আগুন,požara,пожар,foc,пожар,lu focu,vatra,brand,fajro,tulekahju,sunog,palo,lume,ცეცხლის,Feuer,φωτιά,આગ,dife,ke ahi,אש,hluav taws,tűz,eldur,ọkụ,api,dóiteáin,fuoco,火災,geni,ಬೆಂಕಿ,от,ភ្លើង,agir,от,ໄຟ,"ignis,",ugunsgrēks,feier,оган,afo,api,തീ,nar,te ahi,आग,гал түймэр,आगो,د اور,آتش,ogień,fogo,ਨੂੰ ਅੱਗ,foc,afi,Фире,moto,باهه,ගිනි,oheň,dab,fuego,seuneu,moto,eld,оташ,தீ,అగ్ని,ไฟไหม้,آگ,yong’in,lửa,umlilo,פייַער,ina,umlilo
الجنوب,հարավ,cənub,hegoaldean,দক্ষিণ,jug,на юг,sud,на юг,sudu,jug,syd,sude,Lõuna,timog,etelään,sur,სამხრეთ,Süden,νότια,દક્ષિણ,sid,ka hema,דרום,sab qab teb,délre,suður,ndịda,selatan,ó dheas,sud,南,kidul,ದಕ್ಷಿಣ,оңтүстік,ភាគខាងត្បូង,başûr,түштүк,ເຂດພາກໃຕ້,austri,dienvidu,süden,југ,Atsimo,selatan,തെക്ക്,nofsinhar,ki te tonga,दक्षिण,урд,दक्षिण,سویل,جنوب,południe,sul,ਦੱਖਣ,sud,saute,југ,chamhembe,ڏکڻ,දකුණු,na juh,koonfur,sur,kidul,kusini,söder,ҷануб,தெற்கு,దక్షిణ,ทางตอนใต้,جنوبی,janub,nam,mazantsi,דרום,guusu,eningizimu
مشكلة,խնդիր,problem,arazoa,সমস্যা,problem,проблем,problema,проблем,prublemu,problem,problem,problemo,probleem,problema,ongelma,problema,პრობლემა,Problem,πρόβλημα,સમસ્યા,pwoblèm,pilikia,בעיה,teeb meem,probléma,vandamál,nsogbu,masalah,fhadhb,problema,問題,masalah,ಸಮಸ್ಯೆ,проблема,បញ្ហា,pirsegirêk,маселе,ບັນຫາ,forsit,problēma,problem,проблемот,olana,masalah,പ്രശ്നം,problema,raruraru,समस्या,асуудал,समस्या,ستونزه,مشکل,problem,problema,ਸਮੱਸਿਆ ਦਾ,problemă,faafitauli,Проблем,dambudziko,مسئلو,ප්රශ්නය,problém,dhibaatada,problema,masalah,tatizo,problemet,проблема,பிரச்சனை,సమస్య,ปัญหา,مسئلہ,muammo,vấn đề,ingxaki,פּראָבלעם,isoro,Inkinga
قطعة,կտոր,parça,pieza,টুকরা,komad,парче,peça,парче,pezzu,komad,stykke,peco,töö,piraso,pala,peza,ცალი,Stück,κομμάτι,ભાગ,moso,kauwahi,חתיכה,daim,darab,stykki,ibe,piece,píosa,pezzo,作品,Piece,ತುಣುಕು,кесек,ដុំ,perçe,үзүм,ສິ້ນ,frustrum,gabals,stéck,парче,kely,sekeping,കഷണം,biċċa,wahi,तुकडा,хэсэг,टुक्रा,ټوټه,قطعه,sztuk,peça,ਟੁਕੜੇ,bucată,fasi,комад,chidimbu,ٽڪرو,කෑල්ලක්,kus,gabal,pieza,potongan,kipande,stycke,порчаи,துண்டு,ముక్క,ชิ้นส่วน,ٹکڑا,qism,mảnh,iqhekeza,שטיק,nkan,ucezu
قال,ասել,bildirib,esan,বলা,rekao,каза,dit,каза,dittu,Rekao,fortalt,rakontis,ütles,sinabi,kertoi,dixo,განუცხადა,sagte,είπε,જણાવ્યું,te di,haʻi,אמר לי,hais rau,mondta,sagði,gwara,mengatakan,inis,ha detto,言われ,marang,ಹೇಳಿದರು,айтты,បានប្រាប់,re got:,айтып,ບອກ,nuntiavit,pastāstīja,gesot,изјави,nilaza,memberitahu,പറഞ്ഞു,told,ka korerotia,सांगितले,гэж хэлсэн,यसो भने,وويل,گفت,powiedział,disse,ਨੂੰ ਦੱਸਿਆ ਕਿ,a spus,taʻu atu,Рекао,vakaudza,ٻڌايو,පවසා,povedal,sheegay,dicho,ka,aliiambia,sa,гуфт,கூறினார்,చెప్పారు,บอก,بتایا,aytdi,nói,wathi,דערציילט,so fun,utshele
عرف,"գիտեր,",bilirdi,bazekien,জানতাম,znao,Знаех,sabia,Знаех,canuscia,znao,vidste,sciis,teadsin,alam,tiesi,sabía,იცოდა,wusste,ήξερε,જાણતા હતા,te konnen,ike,ידעתי,paub,tudta,vissi,maara,tahu,Bhí a fhios,sapeva,知っていた,sumurup,ತಿಳಿದಿತ್ತು,білген,បានដឹងថា,dizanibû,билген,ຮູ້,cognovit,zināja,riwwer,знаеја,nahalala,tahu,അറിഞ്ഞു,kien jaf,i mohio,माहीत,мэдэж байсан,थाह थियो,پوهېدل,می دانستم که,wiedział,sabia,ਪਤਾ ਸੀ,Știam,iloa,Знао,aiziva,ڄاڻن,දැන,"vedel,",ogaa,sabía,terang,alijua,visste,"медонист,",தெரிந்தது,తెలుసు,รู้,جانتا تھا,bilgan,biết,wayesazi,געוואוסט,mọ,wayazi
تمر,անցնել,keçmək,gainditu,পাস,prolaze,мине,passar,мине,passani,proći,pass,pasi,edasi,pumasa,kulkea,pasar,გაივლის,passieren,περάσει,પસાર,pase,kekahi,עובר,dhau,át,fara,gafere,lulus,pas a fháil,passare,合格,pass,ಪಾಸ್,өту,ហុច,nasname,өтүү,ຜ່ານ,factum,caurlaide,virum,помине,nitranga,lulus,ചുരം,jgħaddu,haere,पास,өнгөрөх,पारित,پاس,عبور,przekazać,passar,ਪਾਸ,trece,teʻa,проћи,zvakaitika,لڪ,සාමාර්ථයක්,prejsť,gudubto,pasar,ngaliwatan,kupita,passera,гузаштан,கடந்து,పాస్,ผ่าน,پاس,o’tishi,vượt qua,Kwathi,פאָרן,ṣe,Kudlula
منذ,հետո,ildən,geroztik,খবর,s obzirom,тъй като,des,тъй като,siccomu,budući,siden,ekde,alates,mula noong,koska,desde,"მას შემდეგ, რაც",seit,από,કારણ,depi,mai,מאז,txij li thaum,óta,síðan,ebe,karena,ós rud é,da,以来,wiwit,ರಿಂದ,бастап,ចាប់តាំងពី,ji ber ku,бери,ນັບຕັ້ງແຕ່,cum,kopš,zënter,од,satria,sejak,പിന്നീട്,peress,mai,पासून,Учир нь,पछि,راهیسې,از سال,od,desde,ਦੇ ਬਾਅਦ,întrucât,talu,Од,kubva,کان,සිට,od,tan,desde,ti mimiti,tangu,sedan,зеро,முதல்,నుండి,ตั้งแต่,سے,chunki,từ,ukususela,זינט,niwon,kusukela
أعلى,Վերեւ,üst,top,শীর্ষ,Top,отгоре,superior,отгоре,cima,Vrh,top,supro,top,tuktok,alkuun,arriba,დაბრუნება,obere,κορυφή,ટોચ,tèt,luna,עליון,sab saum toj,felső,efst,top,atas,barr,top,トップ,ndhuwur,ಟಾಪ್,үстінен,កំពូល,lûtik,жогорку,ທາງເທີງ,top,tops,erop,врвот,ambony,atas,മുകളിൽ,top,runga,टॉप,дээд,शीर्ष,سر,بالا,góry,topo,ਚੋਟੀ ਦੇ,top,tumutumu,топ,pamusoro,مٿي,ඉහළ,top,sare ee,cima,puncak,juu,topp,боло,மேல்,టాప్,ด้านบน,سب سے اوپر,eng yaxshi,đầu,umphezulu,שפּיץ,oke,phezulu
ككل,ամբողջություն,bütün,osoa,সমগ্র,cijeli,Цялата,tot,Цялата,interu,cijeli,hele,aro,kogu,kabuuan,koko,todo,მთელი,ganze,ολόκληρο,સમગ્ર,antye,a pau,כל,tag nrho,egész,heild,dum,seluruh,fad,tutto,全体,kabèh,ಇಡೀ,бүтін,ទាំងមូល,giştî,бүт,ທັງຫມົດ,omnis,viss,ganz,целата,rehetra,keseluruhan,മുഴുവൻ,kollu,katoa,संपूर्ण,бүхэлд нь,सारा,ټول,تمام,cały,inteiro,ਸਾਰੀ,întreg,atoa,Цела,ose,سڄي,මුළු,celá,oo dhan,todo,sakabeh,zima,hela,тамоми,முழுவதும்,మొత్తం,ทั้ง,پورے,butun,toàn bộ,onke,גאַנץ,gbogbo,wonke
ملك,թագավորը,kral,king,রাজা,kralj,цар,rei,цар,re,kralj,konge,reĝo,kuningas,king,kuningas,rei,მეფე,König,βασιλιά,રાજા,wa,ke alii,מלך,huab tais,király,konungur,eze,raja,rí,re,王,king,ರಾಜ,патша,ស្តេច,qiral,падыша,ຄົນ,"rex,",karalis,kinnek,крал,mpanjaka,raja,രാജാവ്,king,te kingi,राजा,хаан,राजा,پاچا,پادشاه,król,rei,ਰਾਜੇ ਨੇ,rege,tupu,Кинг,mambo,بادشاهه,රජු,kráľ,oo boqorkii,rey,raja,mfalme,kung,шоҳ,ராஜா,రాజు,กษัตริย์,بادشاہ,qirol,vua,ukumkani,קעניג,ọba,inkosi
شارع,փողոց,küçə,kalean,রাস্তায়,Street,улица,carrer,улица,carrughju,ulica,gade,strato,street,kalye,katu,rúa,ქუჩის,Straße,δρόμος,શેરી,lari,alanui,רחוב,txoj kev,utca,götu,n’okporo ámá,jalan,ainm,strada,ストリート,werna,ರಸ್ತೆ,көше,តាមផ្លូវ,rêgah,көчө,ຖະຫນົນຫົນທາງ,platea,iela,strooss,улица,teny an-dalana,jalan,തെരുവ്,toroq,street,रस्त्यावर,"гудамж,",सडक,سړک,خیابان,ulica,rua,ਗਲੀ ’,stradă,ala,улица,mugwagwa,گلي,වීදි,ulice,wadada,calle,jalan,mitaani,gata,кӯча,தெருவில்,వీధి,ถนน,سڑک,ko’cha,đường phố,isitalato,גאַס,ita,isitaladi
بوصة,դյույմ,inch,hazbeteko,ইঞ্চি,inča,инч,polzades,инч,inches,palac,tommer,colo,tolli,inch,tuuma,polgada,დუიმიანი,Zoll,ιντσών,ઇંચ,pous,’īniha,אינץ,nti,hüvelyk,tomma,buru ibu dị sentimita,inch,orlach,pollice,インチ,inch,ಇಂಚು,дюймдік,អ៊ីញ,inch,дюйм,ນິ້ວ,inch,inch,zoll,инчен,mirefy,inci,ഇഞ്ച്,pulzier,inihi,इंच,инчийн,इन्चको,انچ,اینچ,cal,polegada,ਇੰਚ,inci,inisi,инцх,padiki,انچ,අඟල්,inch,inji ah,pulgadas,inci,inchi,tum,инч,அங்குல,అంగుళం,นิ้ว,انچ,inch,inch,intshi,אינטש,ọwọ,ngamasentimitha
مضاعفة,բազմապատկել,çoxaltmaq,biderkatu,সংখ্যাবৃদ্ধি,pomnožite,размножават,multiplicar,размножават,multiplica,množite,formere,multipliki,korrutada,paramihin,lisääntyä,multiplicar,გამრავლების,multiplizieren,πολλαπλασιάστε,ગુણાકાર,miltipliye,hoonui,להכפיל,multiply,szaporodnak,margfalda,mụbaa,kalikan,iolrú,moltiplicare,掛ける,Multiply,ಗುಣಿಸಿ,көбейту,គុណ,zêdekirin,көп,ວີຜົນປະໂຫຍດ,multiplicabo,reizināt,féngeren,мултиплицираат,hahamaro,membiak,പെരുക്കുക,immoltiplika,kia tini,गुणाकार,үржүүлэх,वृद्धि,ضربوي,ضرب,mnożenie,multiplicar,ਗੁਣਾ,multiplica,faʻatele,помножите,muwande,ضرب,ගුණ,násobiť,ku dhufo,multiplicar,ngalikeun,kuzidisha,multiplicera,дучандонаш,பெருக்கவும்,గుణిస్తారు,คูณ,ضرب,ko’paytirib,nhân,kuyandisa,מערן,isodipupo,phindaphinda
لا شيء,ոչինչ,heç bir şey,nothing,কিছুই,ništa,нищо,res,нищо,nunda,ništa,intet,nenio,midagi,walang anuman,ei mitään,nada,არაფერი,nichts,τίποτα,કંઈ,pa gen anyen,aole,שום דבר,tsis muaj dab tsi,semmi,ekkert,ihe,tidak ada,aon rud,niente,何も,boten,ಏನೂ,ештеңе,គ្មានអ្វី,netişt,эч нерсе,ບໍ່ມີຫຍັງ,aliquid,nekas,näischt,ништо,na inona na inona,apa-apa,ഒന്നും,xejn,kahore,काहीही,юу ч биш,केही,هيڅ,هیچ,nic,nada,ਕੁਝ ਵੀ,nimic,leai se mea,ништа,hapana,ڪجھ به نه,කිසිවක්,nič,waxba,nada,euweuh,chochote,ingenting,чизе,எதுவும்,ఏమీ,ไม่มีอะไร,کچھ بھی نہیں,hech nima,không có gì,akukho nto,גאָרנישט,ohunkohun,lutho
بالطبع,դասընթաց,Əlbəttə,ikastaroa,মাঠ,Naravno,курс,curs,курс,corsu,tečaj,kursus,Kompreneble,Loomulikult,Siyempre,kurssi,curso,"რა თქმა უნდა,",Kurs,πορεία,અલબત્ત,kou,ana,כמובן,cov hoob kawm,tanfolyam,námskeið,N’ezie,tentu saja,cúrsa,corso,もちろん,mesthi,ಕೋರ್ಸ್,курс,ពិតណាស់,kûrs,"Албетте,",ແນ່ນອນ,scilicet,Protams,natierlech,Се разбира,Mazava ho azy fa,kursus,ഗതി,kors,akoranga,अर्थात,Мэдээж,पाठ्यक्रम,کورس,البته,Oczywiście,curso,ਦਾ ਕੋਰਸ,curs,ala,Курс,kosi,البته,පාඨමාලාව,kurz,Dabcan,curso,kursus,Bila shaka,Naturligtvis,курс,நிச்சயமாக,కోర్సు,แน่นอน,کورس,"Albatta,",Tất nhiên,ikhosi,קורס,dajudaju,inkambo
إقامة,մնալ,qalmaq,egonaldia,থাকার,ostati,престой,quedar,престой,dormir,ostati,ophold,resti,jääda,manatili,pysyä,estar,დარჩება,bleiben,μείνετε,રહેવા,rete,noho,להישאר,nyob twj ywm,marad,halda,anọ,tinggal,fanacht,soggiornare,滞在,tetep,ಉಳಿಯಲು,болу,ស្នាក់,mayin,кал,ຢູ່,manete,uzturēties,bleiwen,остане,mijanona,tinggal,താമസിക്കാൻ,waqfa,noho,रहा,байх,रहन,پاتې شي,اقامت,pobyt,ficar,ਰਹਿਣ,ședere,nofo,остани,gara,رهو,ඉන්න,pobyt,joogo,quedarse,tinggal,kukaa,bo,мондан,தங்க,ఉండడానికి,พักอยู่,رہنا,qolish,ở lại,ukuhlala,בלייַבן,duro,uhlale
